Time,NCFCC
1,58.2563
1,29.1281
1,156.968
1,58.2563
1,156.968
1,9.19688
1,156.968
1,58.2563
1,29.1281
1,156.968
1,58.2563
1,156.968
1,9.19688
1,156.968
1,58.2563
1,156.968
1,58.2563
1,29.1281
1,156.968
1,9.19688
1,156.968
1,58.2563
1,156.968
1,58.2563
1,29.1281
1,156.968
1,9.19688
1,156.968
1,58.2563
1,29.1281
1,156.968
1,58.2563
1,156.968
1,9.19688
1,156.968
1,58.2563
1,29.1281
1,156.968
1,58.2563
1,156.968
1,9.19688
1,156.968
1,58.2563
1,29.1281
1,156.968
1,58.2563
1,156.968
1,9.19688
1,156.968
1,58.2563
1,180.901
1,58.2563
1,29.1281
1,180.901
1,10.2531
1,180.901
1,58.2563
1,180.901
1,58.2563
1,29.1281
1,180.901
1,10.2531
1,180.901
1,58.2563
1,29.1281
1,180.901
1,58.2563
1,180.901
1,10.2531
1,180.901
1,58.2563
1,29.1281
1,180.901
1,58.2563
1,180.901
1,10.2531
1,180.901
1,58.2563
1,29.1281
1,180.901
1,58.2563
1,180.901
1,10.2531
1,180.901
1,58.2563
1,180.901
1,58.2563
1,29.1281
1,180.901
1,10.2531
1,180.901
1,58.2563
1,180.901
1,58.2563
1,29.1281
1,180.901
1,10.2531
1,180.901
1,58.2563
1,29.8531
1,189.855
1,58.2563
1,189.855
1,10.4031
1,189.855
1,58.2563
1,29.8531
1,189.855
1,58.2563
1,189.855
1,10.4031
1,189.855
1,58.2563
1,29.8531
1,189.855
1,58.2563
1,189.855
1,10.4031
1,189.855
1,58.2563
1,58.2563
1,29.1281
1,58.2563
1,189.855
1,58.2563
1,29.8531
1,189.855
1,10.4031
1,189.855
1,58.2563
1,29.8531
1,189.855
1,58.2563
1,189.855
1,10.4031
1,189.855
1,27.4031
1,28.3797
1,720.262
1,28.3797
1,1570.15
1,28.3797
1,1570.15
1,27.4031
1,28.3797
1,720.262
1,56.7594
1,925.355
1,56.7594
1,28.3797
1,56.7594
1,28.3797
1,56.7594
1,28.3797
1,55.3688
1,899.602
1,27.6844
1,1531.11
1,27.6844
1,1531.11
1,55.3688
1,27.6844
1,55.3688
1,27.6844
1,55.3688
1,27.6844
1,22.0117
1,28.0156
1,736.881
1,56.0312
1,28.0156
1,56.0312
1,736.881
1,22.0117
1,28.0156
1,736.881
1,56.0312
1,28.0156
1,56.0312
1,28.0156
1,54.625
1,28.0156
1,56.0312
1,54.625
1,28.0156
1,56.0312
1,28.0156
1,55.3688
1,28.3797
1,56.7594
1,55.3688
1,28.3797
1,56.7594
1,28.3797
1,56.0312
1,28.7594
1,57.5188
1,28.7594
1,56.0312
1,28.7594
1,57.5188
1,27.6844
1,28.3797
1,56.7594
1,28.3797
1,27.6844
1,28.3797
1,56.7594
1,28.0852
1,28.3797
1,28.0852
1,28.3797
1,28.0156
1,28.7594
1,28.0156
1,28.7594
1,28.0156
1,28.7594
1,28.0156
1,28.7594
1,56.0312
1,28.7594
1,56.0312
1,28.7594
1,28.0156
1,28.7594
1,28.0156
1,28.7594
1,28.0156
1,28.7594
1,28.0156
1,28.7594
1,57.5188
1,57.5188
1,28.7594
1,18.9375
1,28.7594
1,548.487
1,56.7594
1,28.7594
1,18.9375
1,28.7594
1,548.487
1,57.5188
1,548.487
1,56.7594
1,28.7594
1,57.5188
1,28.7594
1,57.5188
1,28.7594
1,57.5188
1,28.7594
1,56.7594
1,28.7594
1,57.5188
1,56.7594
1,28.7594
1,57.5188
1,28.7594
1,56.0312
1,27.6148
1,56.0312
1,28.0156
1,56.0312
1,28.0156
1,56.0312
1,0.400781
1,27.3125
1,28.0156
1,27.3125
1,28.0156
1,28.3797
1,29.1281
1,57.5188
1,29.1281
1,28.3797
1,29.1281
1,57.5188
1,29.1281
1,56.7594
1,29.1281
1,56.7594
1,29.1281
1,28.3797
1,29.1281
1,28.3797
1,29.1281
1,58.2563
1,29.1281
1,28.3797
1,29.1281
1,58.2563
1,28.3797
1,29.1281
1,28.3797
1,29.1281
1,57.5188
1,29.1281
1,28.3797
1,29.1281
1,28.3797
1,29.1281
1,541.845
1,57.5188
1,29.1281
1,58.2563
1,541.845
1,58.2563
1,29.1281
1,28.3797
1,29.1281
1,541.845
1,55.3688
1,54.625
1,27.6844
1,55.3688
1,27.6844
1,54.625
1,27.6844
1,54.625
1,27.6844
1,55.3688
1,27.6844
1,54.625
1,27.6844
1,55.3688
1,27.3125
1,28.0156
1,56.0312
1,28.0156
1,27.3125
1,28.0156
1,56.0312
1,56.7594
1,27.6844
1,28.3797
1,56.7594
1,28.3797
1,27.6844
1,28.3797
1,56.0312
1,28.3797
1,56.0312
1,28.3797
1,56.7594
1,28.3797
1,56.7594
1,28.3797
1,56.7594
1,28.3797
1,56.7594
1,56.0312
1,28.3797
1,56.0312
1,28.3797
1,38.0531
1,29.4906
1,38.0531
1,29.4906
1,38.0531
1,29.4906
1,156.968
1,38.0531
1,29.4906
1,156.968
1,39.0125
1,29.4906
1,185.884
1,39.4344
1,29.4906
1,39.4344
1,29.4906
1,192.345
1,39.0125
1,29.4906
1,39.0125
1,29.4906
1,185.884
1,39.4344
1,29.4906
1,192.345
1,39.4344
1,29.4906
1,39.0125
1,29.4906
1,38.0531
1,29.4906
1,156.968
1,38.0531
1,29.4906
1,38.0531
1,29.4906
1,156.968
1,38.0531
1,29.4906
1,39.4344
1,29.4906
1,192.345
1,39.4344
1,29.4906
1,28.7594
